"","Question","Questionnaire","Keep","Min","Max","Rev","Subscale","g","F1.","F2.","h2","u2","p2"
"X46","Once I start worrying, I can’t stop.","PSWQ","1","1","5",NA,"pswq",0.45,0,0.36,"0.340504779355854","0.659495220644146","0.589947677248882"
"X47","I worry all the time.","PSWQ","1","1","5",NA,"pswq",0.41,0,0.34,"0.287282383724213","0.712717616275787","0.582308156815851"
"X48","I worry about projects until they are done.","PSWQ","1","1","5",NA,"pswq",0.39,0,0.43,"0.344686192883967","0.655313807116033","0.447282955836005"
"X49","Startled easily","MASQ","1","1","4",NA,"anxious arousal",0.25,0,0,"0.0986634055170057","0.901336594482994","0.650554230382326"
"X50","Felt cheerful","MASQ","1","1","5"," 1","anhedonic",0.32,0.38,0,"0.250583257838865","0.749416742161135","0.400266819491262"
"X51","Hands were shaky","MASQ","1","1","3",NA,"anxious arousal",0.3,0,0.24,"0.153459103446756","0.846540896553244","0.596128733654048"
"X52","Felt optimistic","MASQ","1","1","5"," 1","anhedonic",0.42,0.36,0,"0.311726014561516","0.688273985438484","0.569736824084493"
"X53","Felt really happy","MASQ","1","1","5"," 1","anhedonic",0.44,0.51,0,"0.463292295433554","0.536707704566446","0.425572773651282"
"X54","Was short of breath","MASQ","1","1","3",NA,"anxious arousal",0.32,0.23,0,"0.161090226670079","0.838909773329921","0.627077685041112"
"X55","Was proud of myself","MASQ","1","1","5"," 1","anhedonic",0.39,0.41,0,"0.322331140389554","0.677668859610446","0.4716097620383"
"X56","Felt faint","MASQ","1","1","3",NA,"anxious arousal",0.31,0,0,"0.142350712386299","0.857649287613701","0.663357755407825"
"X57","Felt unattractive","MASQ","1","1","5",NA,"anhedonic",0.34,0,0.21,"0.181008506627444","0.818991493372556","0.653539346009693"
"X58","Had hot or cold spells","MASQ","1","1","4",NA,"anxious arousal",0.28,0,0,"0.119703816352318","0.880296183647682","0.642013210895956"
"X59","Felt like I was having a lot of fun","MASQ","1","1","5"," 1","anhedonic",0.4,0.38,0,"0.305054190666312","0.694945809333688","0.51355515188406"
"X60","Hands were cold or sweaty","MASQ","1","1","3",NA,"anxious arousal",0.26,0,0,"0.107222744732824","0.892777255267176","0.653858108383159"
"X61","Felt withdrawn from other people","MASQ","1","1","5",NA,"anhedonic",0.36,0.35,0,"0.24866912234306","0.75133087765694","0.512707098422942"
"X62","Felt like I had a lot of energy","MASQ","1","1","5"," 1","anhedonic",0.47,0.44,0,"0.414891549643749","0.585108450356251","0.533343859630136"
"X63","Was trembling or shaking","MASQ","1","1","3",NA,"anxious arousal",0.26,0,0,"0.10522658384696","0.89477341615304","0.646858246190056"
"X64","Had trouble swallowing","MASQ","1","1","2",NA,"anxious arousal",0.15,0,0,"0.0527806304169634","0.947219369583037","0.405214037551915"
"X65","Felt really slowed down","MASQ","1","1","4",NA,"anhedonic",0.22,0,0,"0.0738023807657243","0.926197619234276","0.64266356349643"
"X66","Felt dizzy or lightheaded","MASQ","1","1","3",NA,"anxious arousal",0.25,0,0.2,"0.103598670125943","0.896401329874057","0.580505775965308"
"X67","Felt really ""up"" or lively","MASQ","1","1","5"," 1","anhedonic",0.36,0.42,0,"0.313816259489857","0.686183740510143","0.422605069912493"
"X68","Had pain in my chest","MASQ","1","1","3",NA,"anxious arousal",0.26,0,0.23,"0.12000931681629","0.87999068318371","0.560458788801425"
"X69","Felt really bored","MASQ","1","1","4",NA,"anhedonic",0.18,0.22,0,"0.0851079344224919","0.914892065577508","0.399352352364246"
"X70","Felt like I was choking","MASQ","1","1","3",NA,"anxious arousal",-0.02,0,0,"0.0162513066464091","0.983748693353591","0.0369482633084038"
"X71","Looked forward to things with enjoyment","MASQ","1","1","5"," 1","anhedonic",0.31,0.37,0,"0.242316723029922","0.757683276970078","0.407758189091162"
"X72","Muscles twitched or trembled","MASQ","1","1","3",NA,"anxious arousal",0.28,0,0,"0.117421450026116","0.882578549973884","0.663144332816505"
"X73","Had a very dry mouth","MASQ","1","1","4",NA,"anxious arousal",0.24,0,0.2,"0.0986590478538176","0.901340952146182","0.57921336880684"
"X74","Felt like I had a lot of interesting things to do","MASQ","1","1","5"," 1","anhedonic",0.47,0.47,0,"0.442723427614452","0.557276572385548","0.497929598873127"
"X75","Was afraid I was going to die","MASQ","1","1","3",NA,"anxious arousal",0.13,0,0,"0.0485333070199539","0.951466692980046","0.361234671104684"
"X76","Felt like I had accomplished a lot","MASQ","1","1","5"," 1","anhedonic",0.4,0.34,0,"0.274516910909198","0.725483089090802","0.569432109705667"
"X77","Felt like it took extra effort to get started","MASQ","1","1","5",NA,"anhedonic",0.39,0.23,0,"0.231758798782934","0.768241201217067","0.65723618961878"
"X78","Felt like nothing was very enjoyable","MASQ","1","1","4",NA,"",0.28,0.34,0,"0.194023807540112","0.805976192459888","0.396136119617121"
"X79","Heart was racing or pounding","MASQ","1","1","4",NA,"anxious arousal",0.27,0.22,0,"0.121675026952242","0.878324973047758","0.585135699272842"
"X80","Felt like I had a lot to look forward to","MASQ","1","1","5"," 1","anhedonic",0.34,0.39,0,"0.274618233006074","0.725381766993926","0.422166211848341"
"X81","Felt numbness or tingling in my body","MASQ","1","1","3",NA,"anxious arousal",0.23,0,0,"0.0777869685824784","0.922213031417522","0.656870061266596"
"X82","Felt hopeful about the future","MASQ","1","1","5"," 1","anhedonic",0.31,0.37,0,"0.23622030780435","0.76377969219565","0.409218807326306"
"X83","Felt like there wasn't anything interesting or fun to do","MASQ","1","1","4",NA,"anhedonic",0.23,0,0,"0.0850511644026569","0.914948835597343","0.648992273788041"
"X84","Seemed to move quickly and easily","MASQ","1","1","5"," 1","anhedonic",0.39,0.44,0,"0.352326505935143","0.647673494064857","0.431148861584131"
"X85","Felt really good about myself","MASQ","1","1","5"," 1","anhedonic",0.45,0.38,0,"0.348028545508523","0.651971454491477","0.574631181570578"
"X86","Thought about death or suicide","MASQ","1","1","4",NA,"anhedonic",0.28,0.27,0,"0.147659110841525","0.852340889158475","0.516166405566331"
"X87","Had to urinate frequently","MASQ","1","1","4",NA,"anxious arousal",0.05,0,0,"0.00715051790497859","0.992849482095021","0.300151666581105"
"X88","I am so sad or unhappy that I can't stand it","BDI","1","0","2",NA,"bdi",0.31,0.33,0,"0.208948795430125","0.791051204569875","0.46516679176878"
"X89","I feel that the future is hopeless and that things cannot improve","BDI","1","0","2",NA,"bdi",0.31,0.31,0,"0.197126709342659","0.802873290657341","0.502360860409568"
"X90","I feel I am a complete failure as a person","BDI","1","0","2",NA,"bdi",0.33,0.39,0,"0.260562415121463","0.739437584878537","0.417559092966424"
"X91","I am dissatisfied or bored with everything","BDI","1","0","1",NA,"bdi",0.37,0.27,0,"0.224042016792112","0.775957983207888","0.627217211575821"
"X92","I feel guilty all of the time","BDI","1","0","1",NA,"bdi",0.3,0.26,0,"0.160157686159796","0.839842313840204","0.557534315630449"
"X93","I feel I am being punished","BDI","1","0","2",NA,"bdi",0.3,0,0,"0.137099090513099","0.862900909486901","0.644818126060047"
"X94","I hate myself","BDI","1","0","2",NA,"bdi",0.3,0,0,"0.140366258708287","0.859633741291713","0.659024296682936"
"X95","I blame myself for everything bad that happens","BDI","1","0","2",NA,"bdi",0.36,0.23,0,"0.196956994661232","0.803043005338768","0.642819495201863"
"X96","I would kill myself if I had the chance","BDI","1","0","1",NA,"bdi",0.28,0.23,0,"0.130972816137397","0.869027183862603","0.583088705098977"
"X97","I used to be able to cry, but now I can't cry even though I want to","BDI","1","0","1",NA,"bdi",0.28,0,0,"0.121188132770382","0.878811867229618","0.651534646851815"
"X98","I feel irritated all the time now","BDI","1","0","2",NA,"bdi",0.31,0,0,"0.145072969134053","0.854927030865947","0.658251421131691"
"X99","I have lost all of my interest in other people","BDI","1","0","2",NA,"bdi",0.34,0.22,0,"0.174600548982331","0.825399451017669","0.646247919364821"
"X100","I can't make decisions at all anymore","BDI","1","0","2",NA,"bdi",0.37,0.24,0,"0.209454680087113","0.790545319912887","0.641149614421526"
"X101","I believe that I look ugly","BDI","1","0","2",NA,"bdi",0.26,0,0,"0.106361518436769","0.893638481563231","0.655160144499915"
"X102","I can't do any work at all","BDI","1","0","2",NA,"bdi",0.43,0.32,0,"0.295509206526401","0.704490793473599","0.617304269737261"
"X103","I wake up several hours earlier than I used to and cannot get back to sleep","BDI","1","0","2",NA,"bdi",0.37,0.33,0,"0.246522356476376","0.753477643523624","0.549703264523939"
"X104","I am too tired to do anything","BDI","1","0","2",NA,"bdi",0.24,0,0,"0.0909402027906522","0.909059797209348","0.659550130784145"
"X105","I have no appetite at all anymore","BDI","1","0","1",NA,"bdi",0.4,0.28,0,"0.255485215527898","0.744514784472102","0.63362428328284"
"X106","I have lost more than fifteen pounds","BDI","1","0","1",NA,"bdi",0.16,0,0,"0.056395531098154","0.943604468901846","0.448639312595654"
"X107","I am so worried about my physical problems that I cannot think about anything else","BDI","1","0","1",NA,"bdi",0.33,0,0.23,"0.172523221676076","0.827476778323924","0.633820661272285"
"X108","I have lost interested in sex completely","BDI","1","0","1",NA,"bdi",0.28,0,0,"0.119444914994409","0.880555085005591","0.634873397626591"
"X109","I was bothered by things that usually don’t bother me.","CESD","1","0","2",NA,"cesd",0.28,0,0,"0.119715266958419","0.880284733041581","0.660919638411889"
"X110","I did not feel like eating; my appetite was poor","CESD","1","0","2",NA,"cesd",0.23,0.3,0,"0.145149740793703","0.854850259206297","0.358658138591626"
"X111","I felt that I could not shake off the blues even with help from my family or friends.","CESD","1","0","2",NA,"cesd",0.43,0.39,0,"0.337731139976213","0.662268860023787","0.553002730518975"
"X112","I felt I was just as good as other people","CESD","1","0","3"," 1","cesd",0.23,0.22,0,"0.101240326615263","0.898759673384737","0.531804488584671"
"X113","I had trouble keeping my mind on what I was doing.","CESD","1","0","3",NA,"cesd",0.25,0,0,"0.0970957881004377","0.902904211899562","0.650886623113118"
"X114","I felt depressed.","CESD","1","0","3",NA,"cesd",0.34,0.35,0,"0.238078477091407","0.761921522908593","0.480218463025649"
"X115","I felt that everything I did was an effort.","CESD","1","0","3",NA,"cesd",0.34,0,0,"0.17190559682013","0.82809440317987","0.660710806331327"
"X116","I felt hopeful about the future.","CESD","1","0","3"," 1","cesd",0.36,0.28,0,"0.210065510078587","0.789934489921413","0.600143836439426"
"X117","I thought my life had been a failure.","CESD","1","0","3",NA,"cesd",0.34,0.23,0,"0.179867630393545","0.820132369606455","0.633387491035573"
"X118","I felt fearful.","CESD","1","0","2",NA,"cesd",0.19,0,0,"0.0530015233402353","0.946998476659765","0.650071422519778"
"X119","My sleep was restless.","CESD","1","0","3",NA,"cesd",0.31,0,0,"0.149477999305723","0.850522000694277","0.663551113672694"
"X120","I was happy.","CESD","1","0","3"," 1","cesd",0.27,0.33,0,"0.184224449800812","0.815775550199188","0.409936789714378"
"X121","I talked less than usual.","CESD","1","0","2",NA,"cesd",0.25,0,0,"0.0924850178966079","0.907514982103392","0.651784789782115"
"X122","I felt lonely.","CESD","1","0","3",NA,"cesd",0.27,0,0,"0.110300568289653","0.889699431710347","0.638681194415944"
"X123","People were unfriendly.","CESD","1","0","2",NA,"cesd",0.26,0,0,"0.104650731721011","0.895349268278989","0.634306473353632"
"X124","I enjoyed life.","CESD","1","0","3"," 1","cesd",0.34,0.25,0,"0.188688163443945","0.811311836556055","0.62144781620119"
"X125","I had crying spells.","CESD","1","0","2",NA,"cesd",0.3,0,0,"0.136566197584315","0.863433802415685","0.661682508007135"
"X126","I felt sad.","CESD","1","0","3",NA,"cesd",0.28,0.22,0,"0.129333781301511","0.870666218698489","0.60597806434703"
"X127","I felt that people dislike me.","CESD","1","0","3",NA,"cesd",0.21,0,0,"0.0676072104426909","0.932392789557309","0.649542885023217"
"X128","I could not get “going.”","CESD","1","0","2",NA,"cesd",0.37,0.24,0,"0.21292113269387","0.78707886730613","0.642282090465445"
