"","Question","Questionnaire","Keep","Min","Max","Rev","Subscale","g","F1.","F2.","h2","u2","p2"
"X28","Would you call yourself tense or ‘highly-strung’? ","EPQ","1","0","1",NA,"epq",0.34,0,0.24,"0.189859906211984","0.810140093788016","0.593414055245759"
"X29","Do you worry too long after an embarrassing experience? ","EPQ","1","0","1",NA,"epq",0.2,0,0,"0.0764274129728088","0.923572587027191","0.547316468049832"
"X30","Do you suffer from ‘nerves’? ","EPQ","1","0","1",NA,"epq",0.26,0,0.25,"0.129406041116035","0.870593958883965","0.518233763964212"
"X31","Do you often feel lonely? ","EPQ","1","0","1",NA,"epq",0.37,0.2,0.22,"0.225953565584451","0.774046434415549","0.613070792316007"
"X32","Are you often troubled about feelings of guilt? ","EPQ","1","0","1",NA,"epq",0.23,0,0,"0.0870426545537849","0.912957345446215","0.581689470510629"
"X33","If I don’t have enough time to do everything, I don’t worry about it.","PSWQ","1","1","5"," 1","pswq",0.19,0,0,"0.0666840061005357","0.933315993899464","0.550280394783095"
"X34","My worries overwhelm me.","PSWQ","1","1","5",NA,"pswq",0.49,0,0.39,"0.414894551243693","0.585105448756307","0.572227208010952"
"X35","I don’t tend to worry about things. ","PSWQ","1","1","5"," 1","pswq",0.28,0,0,"0.132427663589081","0.867572336410919","0.604334065035879"
"X36","Many situations make me worry.","PSWQ","1","1","5",NA,"pswq",0.47,0,0.37,"0.386393003817226","0.613606996182774","0.580424548903375"
"X37","I know I shouldn’t worry about things, but I just can’t help it.","PSWQ","1","1","5",NA,"pswq",0.44,0,0.42,"0.373894082914471","0.626105917085529","0.514500955920109"
"X38","When I am under pressure, I worry a lot.","PSWQ","1","1","5",NA,"pswq",0.4,0,0.33,"0.28740542249683","0.71259457750317","0.568986578473684"
"X39","I am always worrying about something.","PSWQ","1","1","5",NA,"pswq",0.45,0,0.41,"0.377174985857879","0.622825014142121","0.535623477164512"
"X40","I find it easy to dismiss worrisome thoughts.","PSWQ","1","1","5"," 1","pswq",0.31,0,0,"0.158151383755027","0.841848616244973","0.611440644467621"
"X41","As soon as I finish one task, I start to worry about everything else I have to do.","PSWQ","1","1","5",NA,"pswq",0.41,0,0.33,"0.292325128966519","0.707674871033481","0.573663498850612"
"X42","I never worry about anything.","PSWQ","1","1","4"," 1","pswq",0.23,0,0,"0.0929791566911442","0.907020843308856","0.56632768441147"
"X43","When there is nothing more I can do about a concern, I don’t worry about it anymore. ","PSWQ","1","1","5"," 1","pswq",0.25,0,0,"0.101939743398118","0.898060256601882","0.59586425217441"
"X44","I’ve been a worrier all my life.","PSWQ","1","1","5",NA,"pswq",0.4,0,0.36,"0.292281795258589","0.707718204741411","0.540043447491121"
"X45","I notice that I have been worrying about things.","PSWQ","1","1","5",NA,"pswq",0.46,0,0.4,"0.385196785579446","0.614803214420554","0.54394207725996"
"X46","Once I start worrying, I can’t stop.","PSWQ","1","1","5",NA,"pswq",0.4,0,0.34,"0.282188955124595","0.717811044875405","0.558777346996207"
"X47","I worry all the time.","PSWQ","1","1","5",NA,"pswq",0.47,0,0.39,"0.394538886540667","0.605461113459333","0.562064216685535"
"X48","I worry about projects until they are done.","PSWQ","1","1","5",NA,"pswq",0.34,0,0.27,"0.198416732240384","0.801583267759616","0.570731120324288"
"X49","Startled easily","MASQ","1","1","4",NA,"anxious arousal",0.18,0,0.21,"0.0757922812296151","0.924207718770385","0.415018103577408"
"X50","Felt cheerful","MASQ","1","1","5"," 1","anhedonic",0.47,0.37,0,"0.375983542215249","0.624016457784751","0.578123828320595"
"X51","Hands were shaky","MASQ","1","1","3",NA,"anxious arousal",0.14,0,0.32,"0.150364875548984","0.849635124451016","0.124729441605227"
"X52","Felt optimistic","MASQ","1","1","5"," 1","anhedonic",0.45,0.42,0,"0.388114842295381","0.611885157704619","0.52353688038319"
"X53","Felt really happy","MASQ","1","1","5"," 1","anhedonic",0.49,0.47,0,"0.468501457480804","0.531498542519196","0.515326124136285"
"X54","Was short of breath","MASQ","1","1","3",NA,"anxious arousal",0.19,0,0.29,"0.123301853786981","0.876698146213019","0.291723433362984"
"X55","Was proud of myself","MASQ","1","1","5"," 1","anhedonic",0.39,0.48,0,"0.389305910062887","0.610694089937113","0.391652813859866"
"X56","Felt faint","MASQ","1","1","3",NA,"anxious arousal",0.09,0,0.27,"0.112060861936973","0.887939138063027","0.0772088780383224"
"X57","Felt unattractive","MASQ","1","1","5",NA,"anhedonic",0.34,0,0.22,"0.192740638049187","0.807259361950813","0.608337019514101"
"X58","Had hot or cold spells","MASQ","1","1","4",NA,"anxious arousal",0.15,0,0.21,"0.0689649384053077","0.931035061594692","0.3051657745183"
"X59","Felt like I was having a lot of fun","MASQ","1","1","5"," 1","anhedonic",0.36,0.41,0,"0.294940084438329","0.705059915561671","0.440160832136818"
"X60","Hands were cold or sweaty","MASQ","1","1","3",NA,"anxious arousal",0.12,0,0.31,"0.141776047807071","0.858223952192929","0.103136564177713"
"X61","Felt withdrawn from other people","MASQ","1","1","5",NA,"anhedonic",0.45,0,0.34,"0.347161046046184","0.652838953953816","0.587890494175979"
"X62","Felt like I had a lot of energy","MASQ","1","1","5"," 1","anhedonic",0.41,0.43,0,"0.358490886501349","0.641509113498651","0.470979729100268"
"X63","Was trembling or shaking","MASQ","1","1","3",NA,"anxious arousal",0.17,-0.2,0.39,"0.224469059905311","0.775530940094689","0.130819051955763"
"X64","Had trouble swallowing","MASQ","1","1","2",NA,"anxious arousal",0.15,0,0.3,"0.126090506229793","0.873909493770207","0.18993808643384"
"X65","Felt really slowed down","MASQ","1","1","4",NA,"anhedonic",0.34,0,0.28,"0.205968523729332","0.794031476270668","0.564061717781826"
"X66","Felt dizzy or lightheaded","MASQ","1","1","3",NA,"anxious arousal",0.35,0,0.48,"0.358104538168535","0.641895461831465","0.342810912608068"
"X67","Felt really ""up"" or lively","MASQ","1","1","5"," 1","anhedonic",0.41,0.47,0,"0.391367379250865","0.608632620749135","0.424283381735941"
"X68","Had pain in my chest","MASQ","1","1","3",NA,"anxious arousal",0.22,0,0.37,"0.203182602573502","0.796817397426498","0.243205419975807"
"X69","Felt really bored","MASQ","1","1","4",NA,"anhedonic",0.29,0,0.24,"0.148874543154835","0.851125456845165","0.569836361092451"
"X70","Felt like I was choking","MASQ","1","1","3",NA,"anxious arousal",0.07,0,0.21,"0.0691566878336714","0.930843312166329","0.0706745541000076"
"X71","Looked forward to things with enjoyment","MASQ","1","1","5"," 1","anhedonic",0.4,0.47,0,"0.378514088969337","0.621485911030663","0.422468146559924"
"X72","Muscles twitched or trembled","MASQ","1","1","3",NA,"anxious arousal",0.21,0,0.31,"0.149681239446206","0.850318760553794","0.296487112251579"
"X73","Had a very dry mouth","MASQ","1","1","4",NA,"anxious arousal",0.21,0,0.22,"0.0925795065437958","0.907420493456204","0.463090162641725"
"X74","Felt like I had a lot of interesting things to do","MASQ","1","1","5"," 1","anhedonic",0.34,0.44,0,"0.31802189989729","0.68197810010271","0.366138078493791"
"X75","Was afraid I was going to die","MASQ","1","1","3",NA,"anxious arousal",0.07,0,0.22,"0.0726778259835139","0.927322174016486","0.0638438619599629"
"X76","Felt like I had accomplished a lot","MASQ","1","1","5"," 1","anhedonic",0.35,0.55,0,"0.44965734377387","0.55034265622613","0.269041151440642"
"X77","Felt like it took extra effort to get started","MASQ","1","1","5",NA,"anhedonic",0.33,0,0.31,"0.211296453685763","0.788703546314237","0.525155771744932"
"X78","Felt like nothing was very enjoyable","MASQ","1","1","4",NA,"",0.43,0,0.3,"0.314063458329454","0.685936541670546","0.600759539581875"
"X79","Heart was racing or pounding","MASQ","1","1","4",NA,"anxious arousal",0.17,0,0.38,"0.209052028896616","0.790947971103384","0.135982891652081"
"X80","Felt like I had a lot to look forward to","MASQ","1","1","5"," 1","anhedonic",0.4,0.44,0,"0.355547613841119","0.644452386158881","0.447658850668827"
"X81","Felt numbness or tingling in my body","MASQ","1","1","3",NA,"anxious arousal",0.24,-0.2,0.47,"0.320393278568966","0.679606721431034","0.185884455823041"
"X82","Felt hopeful about the future","MASQ","1","1","5"," 1","anhedonic",0.41,0.54,0,"0.460510578738692","0.539489421261308","0.360444784613851"
"X83","Felt like there wasn't anything interesting or fun to do","MASQ","1","1","4",NA,"anhedonic",0.35,0,0.26,"0.209314735951458","0.790685264048542","0.590488951553488"
"X84","Seemed to move quickly and easily","MASQ","1","1","5"," 1","anhedonic",0.4,0.41,0,"0.32545045188705","0.67454954811295","0.487739306570465"
"X85","Felt really good about myself","MASQ","1","1","5"," 1","anhedonic",0.47,0.56,0,"0.531218839040755","0.468781160959245","0.415105328763214"
"X86","Thought about death or suicide","MASQ","1","1","4",NA,"anhedonic",0.12,0,0,"0.0432736967855935","0.956726303214406","0.359552025335533"
"X87","Had to urinate frequently","MASQ","1","1","4",NA,"anxious arousal",0.1,0,0.28,"0.115274770513151","0.884725229486849","0.0823575866042393"
"X88","I am so sad or unhappy that I can't stand it","BDI","1","0","2",NA,"bdi",0.44,0.24,0.25,"0.312179586062378","0.687820413937622","0.613287774984637"
"X89","I feel that the future is hopeless and that things cannot improve","BDI","1","0","2",NA,"bdi",0.34,0.26,0,"0.193802451245076","0.806197548754924","0.580039176127824"
"X90","I feel I am a complete failure as a person","BDI","1","0","2",NA,"bdi",0.44,0.35,0,"0.33252358154487","0.66747641845513","0.569987128895366"
"X91","I am dissatisfied or bored with everything","BDI","1","0","1",NA,"bdi",0.35,0.25,0,"0.204378726254893","0.795621273745107","0.596005553689595"
"X92","I feel guilty all of the time","BDI","1","0","1",NA,"bdi",0.3,0.27,0,"0.169368416497944","0.830631583502056","0.538003564370979"
"X93","I feel I am being punished","BDI","1","0","2",NA,"bdi",0.33,0,0.3,"0.204212255886966","0.795787744113034","0.538074754581678"
"X94","I hate myself","BDI","1","0","2",NA,"bdi",0.47,0.37,0,"0.380031576353935","0.619968423646065","0.575149618694721"
"X95","I blame myself for everything bad that happens","BDI","1","0","2",NA,"bdi",0.4,0.33,0,"0.284686950227617","0.715313049772383","0.566754350631737"
"X96","I would kill myself if I had the chance","BDI","1","0","1",NA,"bdi",0.15,0,0,"0.0556118793454038","0.944388120654596","0.419068582137999"
"X97","I used to be able to cry, but now I can't cry even though I want to","BDI","1","0","1",NA,"bdi",0.26,0,0,"0.111118999262996","0.888881000737004","0.591891471183197"
"X98","I feel irritated all the time now","BDI","1","0","2",NA,"bdi",0.4,0,0.27,"0.263820640596674","0.736179359403326","0.603293658936524"
"X99","I have lost all of my interest in other people","BDI","1","0","2",NA,"bdi",0.31,0,0,"0.159249066573524","0.840750933426476","0.613420200006136"
"X100","I can't make decisions at all anymore","BDI","1","0","2",NA,"bdi",0.31,0.22,0,"0.162376148658629","0.837623851341371","0.59814075671848"
"X101","I believe that I look ugly","BDI","1","0","2",NA,"bdi",0.21,0,0,"0.0728547651832941","0.927145234816706","0.607120967569571"
"X102","I can't do any work at all","BDI","1","0","2",NA,"bdi",0.36,0.24,0,"0.214207317559391","0.785792682440609","0.603050015223988"
"X103","I wake up several hours earlier than I used to and cannot get back to sleep","BDI","1","0","2",NA,"bdi",0.29,0,0.27,"0.162962760901634","0.837037239098366","0.532903009770242"
"X104","I am too tired to do anything","BDI","1","0","2",NA,"bdi",0.34,0,0.23,"0.191490709548484","0.808509290451516","0.60581253229419"
"X105","I have no appetite at all anymore","BDI","1","0","1",NA,"bdi",0.15,0,0,"0.0362980813200502","0.96370191867995","0.613414196996997"
"X106","I have lost more than fifteen pounds","BDI","1","0","1",NA,"bdi",-0.01,0,0,"0.00549255540413735","0.994507444595863","0.0115633601674577"
"X107","I am so worried about my physical problems that I cannot think about anything else","BDI","1","0","1",NA,"bdi",0.28,0,0.27,"0.152953435111939","0.847046564888061","0.516971671430825"
"X108","I have lost interested in sex completely","BDI","1","0","1",NA,"bdi",-0.01,0,0,"0.00218043226769045","0.99781956773231","0.017981242335262"
"X109","I was bothered by things that usually don’t bother me.","CESD","1","0","2",NA,"cesd",0.26,0,0.32,"0.174057631484049","0.825942368515951","0.402023902528885"
"X110","I did not feel like eating; my appetite was poor","CESD","1","0","2",NA,"cesd",0.21,0,0.26,"0.111221984145969","0.888778015854031","0.386930054579169"
"X111","I felt that I could not shake off the blues even with help from my family or friends.","CESD","1","0","2",NA,"cesd",0.38,0,0.27,"0.243033742390639","0.756966257609361","0.598705104545214"
"X112","I felt I was just as good as other people","CESD","1","0","3"," 1","cesd",0.29,0.21,0,"0.141034188536243","0.858965811463757","0.595684238472256"
"X113","I had trouble keeping my mind on what I was doing.","CESD","1","0","3",NA,"cesd",0.28,0,0,"0.133201163456223","0.866798836543777","0.608940134429256"
"X114","I felt depressed.","CESD","1","0","3",NA,"cesd",0.41,0.24,0.22,"0.276779886876494","0.723220113123506","0.613173465221713"
"X115","I felt that everything I did was an effort.","CESD","1","0","3",NA,"cesd",0.09,0,0,"0.0348918049962877","0.965108195003712","0.21321105084312"
"X116","I felt hopeful about the future.","CESD","1","0","3"," 1","cesd",0.38,0.24,0,"0.24239281762082","0.75760718237918","0.610344823293266"
"X117","I thought my life had been a failure.","CESD","1","0","3",NA,"cesd",0.37,0.25,0,"0.225171067318483","0.774828932681517","0.601482324813719"
"X118","I felt fearful.","CESD","1","0","2",NA,"cesd",0.32,0,0.31,"0.203458654478447","0.796541345521553","0.504600090712369"
"X119","My sleep was restless.","CESD","1","0","3",NA,"cesd",0.22,0,0.21,"0.0921685347837453","0.907831465216255","0.509996807394152"
"X120","I was happy.","CESD","1","0","3"," 1","cesd",0.42,0.33,0,"0.309291970888403","0.690708029111597","0.579420862577185"
"X121","I talked less than usual.","CESD","1","0","2",NA,"cesd",0.19,0,0,"0.0721638561229531","0.927836143877047","0.49419283533719"
"X122","I felt lonely.","CESD","1","0","3",NA,"cesd",0.38,0.2,0.23,"0.234830007152782","0.765169992847218","0.612013755026035"
"X123","People were unfriendly.","CESD","1","0","2",NA,"cesd",0.29,0,0.27,"0.156223713791416","0.843776286208584","0.529076988332875"
"X124","I enjoyed life.","CESD","1","0","3"," 1","cesd",0.41,0.37,0,"0.315251750337061","0.684748249662939","0.544474869758653"
"X125","I had crying spells.","CESD","1","0","2",NA,"cesd",0.11,0,0,"0.0250997687546788","0.974900231245321","0.475348314867462"
"X126","I felt sad.","CESD","1","0","3",NA,"cesd",0.38,0.2,0.23,"0.235452205263777","0.764547794736223","0.612639993875949"
"X127","I felt that people dislike me.","CESD","1","0","3",NA,"cesd",0.33,0,0.26,"0.187506677457776","0.812493322542224","0.57771479291663"
"X128","I could not get “going.”","CESD","1","0","2",NA,"cesd",0.31,0.2,0,"0.154674875706804","0.845325124293196","0.609338582391695"
