Question,Questionnaire,Keep,Min,Max,Rev,Subscale
Felt like I had accomplished a lot,MASQ,1.0,1.0,5.0,1.0,anhedonic
Felt like it took extra effort to get started,MASQ,1.0,1.0,5.0,,anhedonic
Felt like nothing was very enjoyable,MASQ,1.0,1.0,4.0,,
Heart was racing or pounding,MASQ,1.0,1.0,4.0,,anxious arousal
Felt like I had a lot to look forward to,MASQ,1.0,1.0,5.0,1.0,anhedonic
Felt numbness or tingling in my body,MASQ,1.0,1.0,3.0,,anxious arousal
Felt hopeful about the future,MASQ,1.0,1.0,5.0,1.0,anhedonic
Felt like there wasn't anything interesting or fun to do,MASQ,1.0,1.0,4.0,,anhedonic
Seemed to move quickly and easily,MASQ,1.0,1.0,5.0,1.0,anhedonic
Felt really good about myself,MASQ,1.0,1.0,5.0,1.0,anhedonic
Thought about death or suicide,MASQ,1.0,1.0,4.0,,anhedonic
Had to urinate frequently,MASQ,1.0,1.0,4.0,,anxious arousal
I am so sad or unhappy that I can't stand it,BDI,1.0,0.0,2.0,,bdi
I feel that the future is hopeless and that things cannot improve,BDI,1.0,0.0,2.0,,bdi
I feel I am a complete failure as a person,BDI,1.0,0.0,2.0,,bdi
I am dissatisfied or bored with everything,BDI,1.0,0.0,1.0,,bdi
I feel guilty all of the time,BDI,1.0,0.0,1.0,,bdi
I feel I am being punished,BDI,1.0,0.0,2.0,,bdi
I hate myself,BDI,1.0,0.0,2.0,,bdi
I blame myself for everything bad that happens,BDI,1.0,0.0,2.0,,bdi
I would kill myself if I had the chance,BDI,1.0,0.0,1.0,,bdi
"I used to be able to cry, but now I can't cry even though I want to",BDI,1.0,0.0,1.0,,bdi
I feel irritated all the time now,BDI,1.0,0.0,2.0,,bdi
I have lost all of my interest in other people,BDI,1.0,0.0,2.0,,bdi
I can't make decisions at all anymore,BDI,1.0,0.0,2.0,,bdi
I believe that I look ugly,BDI,1.0,0.0,2.0,,bdi
I can't do any work at all,BDI,1.0,0.0,2.0,,bdi
I wake up several hours earlier than I used to and cannot get back to sleep,BDI,1.0,0.0,2.0,,bdi
I am too tired to do anything,BDI,1.0,0.0,2.0,,bdi
I have no appetite at all anymore,BDI,1.0,0.0,1.0,,bdi
I have lost more than fifteen pounds,BDI,1.0,0.0,1.0,,bdi
I am so worried about my physical problems that I cannot think about anything else,BDI,1.0,0.0,1.0,,bdi
I have lost interested in sex completely,BDI,1.0,0.0,1.0,,bdi
I was bothered by things that usually don’t bother me.,CESD,1.0,0.0,2.0,,cesd
I did not feel like eating; my appetite was poor,CESD,1.0,0.0,2.0,,cesd
I felt that I could not shake off the blues even with help from my family or friends.,CESD,1.0,0.0,2.0,,cesd
I felt I was just as good as other people,CESD,1.0,0.0,3.0,1.0,cesd
I had trouble keeping my mind on what I was doing.,CESD,1.0,0.0,3.0,,cesd
I felt depressed.,CESD,1.0,0.0,3.0,,cesd
I felt that everything I did was an effort.,CESD,1.0,0.0,3.0,,cesd
I felt hopeful about the future.,CESD,1.0,0.0,3.0,1.0,cesd
I thought my life had been a failure.,CESD,1.0,0.0,3.0,,cesd
I felt fearful.,CESD,1.0,0.0,2.0,,cesd
My sleep was restless.,CESD,1.0,0.0,3.0,,cesd
I was happy.,CESD,1.0,0.0,3.0,1.0,cesd
I talked less than usual.,CESD,1.0,0.0,2.0,,cesd
I felt lonely.,CESD,1.0,0.0,3.0,,cesd
People were unfriendly.,CESD,1.0,0.0,2.0,,cesd
I enjoyed life.,CESD,1.0,0.0,3.0,1.0,cesd
I had crying spells.,CESD,1.0,0.0,2.0,,cesd
I felt sad.,CESD,1.0,0.0,3.0,,cesd
I felt that people dislike me.,CESD,1.0,0.0,3.0,,cesd
I could not get “going.”,CESD,1.0,0.0,2.0,,cesd
